DEBUG 2017-08-14 18:21:20,172 utils 19942 123145515966464 (0.041) 
            SELECT c.relname, c.relkind
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid); args=None
DEBUG 2017-08-14 19:50:56,909 utils 19942 123145521221632 (0.001) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time", COUNT("article_tags"."article_id") AS "num_article" FROM "blog_tag" LEFT OUTER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") GROUP BY "blog_tag"."id" HAVING COUNT("article_tags"."article_id") > 0; args=(0,)
DEBUG 2017-08-14 19:50:57,892 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" WHERE "article"."is_show" = true; args=(True,)
DEBUG 2017-08-14 19:50:57,925 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:57,927 utils 19942 123145521221632 (0.001) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:57,929 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:57,932 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:50:57,934 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:57,936 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:59,638 utils 19942 123145521221632 (0.002) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 21; args=()
DEBUG 2017-08-14 19:50:59,639 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "article"; args=()
DEBUG 2017-08-14 19:50:59,646 utils 19942 123145521221632 (0.000) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 3; args=()
DEBUG 2017-08-14 19:50:59,648 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:59,649 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:59,650 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:59,652 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:50:59,653 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:59,655 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:59,657 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" ORDER BY "article"."created_date" DESC LIMIT 5; args=()
DEBUG 2017-08-14 19:50:59,659 utils 19942 123145521221632 (0.001) SELECT DISTINCT DATE_TRUNC('month', "article"."created_date") AS "datefield" FROM "article" WHERE "article"."created_date" IS NOT NULL ORDER BY "datefield" DESC; args=()
DEBUG 2017-08-14 19:50:59,662 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time", COUNT("article"."id") AS "num_article" FROM "blog_category" LEFT OUTER JOIN "article" ON ("blog_category"."id" = "article"."category_id") GROUP BY "blog_category"."id" HAVING COUNT("article"."id") > 0; args=(0,)
DEBUG 2017-08-14 19:50:59,664 utils 19942 123145521221632 (0.001) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time", COUNT("article_tags"."article_id") AS "num_article" FROM "blog_tag" LEFT OUTER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") GROUP BY "blog_tag"."id" HAVING COUNT("article_tags"."article_id") > 0; args=(0,)
DEBUG 2017-08-14 19:51:03,068 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" WHERE "article"."is_show" = true; args=(True,)
DEBUG 2017-08-14 19:51:03,087 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:03,089 utils 19942 123145521221632 (0.001) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:03,091 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:03,093 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:03,094 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 1; args=(1,)
DEBUG 2017-08-14 19:51:03,095 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 1; args=(1,)
DEBUG 2017-08-14 19:51:05,189 utils 19942 123145521221632 (0.002) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 21; args=()
DEBUG 2017-08-14 19:51:05,190 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "article"; args=()
DEBUG 2017-08-14 19:51:05,197 utils 19942 123145521221632 (0.000) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 3; args=()
DEBUG 2017-08-14 19:51:05,199 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:05,200 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:05,201 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:05,203 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:05,205 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 1; args=(1,)
DEBUG 2017-08-14 19:51:05,206 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 1; args=(1,)
DEBUG 2017-08-14 19:51:05,208 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" ORDER BY "article"."created_date" DESC LIMIT 5; args=()
DEBUG 2017-08-14 19:51:05,210 utils 19942 123145521221632 (0.000) SELECT DISTINCT DATE_TRUNC('month', "article"."created_date") AS "datefield" FROM "article" WHERE "article"."created_date" IS NOT NULL ORDER BY "datefield" DESC; args=()
DEBUG 2017-08-14 19:51:05,212 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time", COUNT("article"."id") AS "num_article" FROM "blog_category" LEFT OUTER JOIN "article" ON ("blog_category"."id" = "article"."category_id") GROUP BY "blog_category"."id" HAVING COUNT("article"."id") > 0; args=(0,)
DEBUG 2017-08-14 19:51:05,214 utils 19942 123145521221632 (0.001) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time", COUNT("article_tags"."article_id") AS "num_article" FROM "blog_tag" LEFT OUTER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") GROUP BY "blog_tag"."id" HAVING COUNT("article_tags"."article_id") > 0; args=(0,)
DEBUG 2017-08-14 19:51:08,214 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" WHERE "article"."id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:08,996 utils 19942 123145521221632 (0.006) UPDATE "article" SET "views" = 4 WHERE "article"."id" = 3; args=(4, 3)
DEBUG 2017-08-14 19:51:10,904 utils 19942 123145526476800 (0.007) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" WHERE "article"."id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,033 utils 19942 123145526476800 (0.007) UPDATE "article" SET "views" = 5 WHERE "article"."id" = 3; args=(5, 3)
DEBUG 2017-08-14 19:51:11,115 utils 19942 123145526476800 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:11,118 utils 19942 123145526476800 (0.001) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,123 utils 19942 123145526476800 (0.003) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time" FROM "blog_tag" INNER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") WHERE "article_tags"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,137 utils 19942 123145526476800 (0.001) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,139 utils 19942 123145526476800 (0.000) SELECT "comments_comment"."id", "comments_comment"."name", "comments_comment"."email", "comments_comment"."url", "comments_comment"."created_date", "comments_comment"."article_id", "comments_comment"."text" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,141 utils 19942 123145526476800 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" ORDER BY "article"."created_date" DESC LIMIT 5; args=()
DEBUG 2017-08-14 19:51:11,143 utils 19942 123145526476800 (0.001) SELECT DISTINCT DATE_TRUNC('month', "article"."created_date") AS "datefield" FROM "article" WHERE "article"."created_date" IS NOT NULL ORDER BY "datefield" DESC; args=()
DEBUG 2017-08-14 19:51:11,145 utils 19942 123145526476800 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time", COUNT("article"."id") AS "num_article" FROM "blog_category" LEFT OUTER JOIN "article" ON ("blog_category"."id" = "article"."category_id") GROUP BY "blog_category"."id" HAVING COUNT("article"."id") > 0; args=(0,)
DEBUG 2017-08-14 19:51:11,147 utils 19942 123145526476800 (0.001) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time", COUNT("article_tags"."article_id") AS "num_article" FROM "blog_tag" LEFT OUTER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") GROUP BY "blog_tag"."id" HAVING COUNT("article_tags"."article_id") > 0; args=(0,)
DEBUG 2017-08-14 19:51:11,322 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:51:11,325 utils 19942 123145521221632 (0.001) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,327 utils 19942 123145521221632 (0.001) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time" FROM "blog_tag" INNER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") WHERE "article_tags"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,336 utils 19942 123145521221632 (0.001) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,337 utils 19942 123145521221632 (0.001) SELECT "comments_comment"."id", "comments_comment"."name", "comments_comment"."email", "comments_comment"."url", "comments_comment"."created_date", "comments_comment"."article_id", "comments_comment"."text" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:51:11,340 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" ORDER BY "article"."created_date" DESC LIMIT 5; args=()
DEBUG 2017-08-14 19:51:11,341 utils 19942 123145521221632 (0.000) SELECT DISTINCT DATE_TRUNC('month', "article"."created_date") AS "datefield" FROM "article" WHERE "article"."created_date" IS NOT NULL ORDER BY "datefield" DESC; args=()
DEBUG 2017-08-14 19:51:11,343 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time", COUNT("article"."id") AS "num_article" FROM "blog_category" LEFT OUTER JOIN "article" ON ("blog_category"."id" = "article"."category_id") GROUP BY "blog_category"."id" HAVING COUNT("article"."id") > 0; args=(0,)
DEBUG 2017-08-14 19:51:11,345 utils 19942 123145521221632 (0.001) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time", COUNT("article_tags"."article_id") AS "num_article" FROM "blog_tag" LEFT OUTER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") GROUP BY "blog_tag"."id" HAVING COUNT("article_tags"."article_id") > 0; args=(0,)
